Norwegian,English
Amerikanske Jomfruøyene       ,US Virgin Islands
Belgia                        ,Belgium
Danmark                       ,Denmark
Dominikanske republikk        ,Dominican Republic
Frankrike                  ,France
Irland                       ,Ireland
Italia                      ,Italy
Kina                          ,China
Libanon                       ,Lebanon
Norge                         ,Norway
Skottland                   ,Scotland
Spania                       ,Spain
Storbritannia                 ,Great Britain
Sverige                      ,Sweden
Trinidad og Tobago            ,Trinidad and Tobago            
Tyskland                     ,Germany
Ungarn                        ,Hungary
Østerrike ,Austria
Rødvin,Red wine
Hvitvin,White wine
Musserende vin,Sparkling wine
Brennevin,Liquor
Perlende vin,Sparkling wine
Rosévin,Rose wine
Sterkvin,Port wine
Sicilia,Sicily
Toscana,Tuscany
Piemonte,Piedmont
Burgund,Burgundy
Castilla y León,Castilla y Leon
Rhône,Rhone
